Notes,SiteID,RecoveryMethod,MeshSize,RecoveryMethodNotes
"the settlement was in the loess area between the valleys of the Danube River and the Isar River near the mouth of the Isar; Kuster records that he received samples from the director of the excavations (Dr K. Schmotz)",S6104,NULL,NULL,NULL
"the site is located about 2 km NNE of the village ""Riedwiesen"" in a bay-shaped basin, upstream of the western flank of the northern Rieder; the preservation of finds in the interior of the cultural layers is excellent (all preserved in peat/waterlogged layers; Koninger & Schlichterle 2004); after initial test soundings in drainage ditches in 1984 full scale excavations took place in 1992/3 and 2 sections of buildings - houses 1 and 2 were exposed in a total of 127 m2; house 1 comprises a total of 8 wooden floors and also has a courtyard in which is a domed oven; timber components made of oak and beech, especially from the lower floor layers 2 and 3 of house 1 revealed a dendrochronological dates: 3920-3916 BC (Billamboz 1998, 165); in addition, is a 14C date of oak flooring: 5345 ± 30BP HD 9509-9275, 4315-4046 cal BC; archaeobotany:  a total of 39 sediment samples were examined, of which 15 are from house 1, five from the ""Gasse/alley"" and 19 from different parts of house 2; the sample size varied between 30 cc and 1.2 litres, the average sample size was approximately 300 cc. (a total of nearly 12 litres of sediment was analysed); samples were washed on a set of sieves (mesh sizes: 8, 4, 2, 1, 0.5 and 0.25 mm) - all were rich in waterlogged and charred plant materials (all listed in table 1);  a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former ",S6150,wet-sieving,"8.0mm, 4.0mm, 2.0mm, 1.0mm, 0.5mm, 0.25mm",NULL
"the site is in the southwest of Germany, about 50 km north of Lake Constance, only 15 km south of the Danube; it was rediscovered only during of archaeological soundings of the settlement by the State Office for Historical Monuments of Baden-Wurttemberg and joined by the staff of the research program ""Project Lake Constance, Upper Swabia""; numerous boreholes in the relevant area were carried out on a 10m grid; within an area of about 2000-3000 square meters there was an estimated ten to thirty house plans; the settlement was uncovered along a 60 metre long narrow cut through drainage ditch section at a depth of about 2 m - in the central settlement area of this transect were four houses with screeds, wood floors and fireplaces; archaeobotany: in July 1982 at different locations a total of ten columns and eight individual profile samples were taken: the removal of the cultural layers was carried out continuously from the top down to the underlying peat by the removal of individual layers (e.g. charcoal layer, clay lens, etc.); in the area of peats and muds whole sections were taken from box samples in the profile wall; in 1981 Maier took 112 individual samples (Chapter 6) from mud-peat profile (E 1); samples from culture layer material were depending on the crumbliness of the sediment, soaked in water for a short time or several hours; as a rule, then the samples had decomposed so much that they could be washed/separated easily; all samples are separated by a washing through a set of three sieves with mesh sizes 2.5, 1.0, 0.3mm (if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former; if not stated items are uncharred); profile samples (1982): no single table includes all economic and wild taxa - therefore I've had to amalgamate totals/ubiquities from several lists/figures/sections of text (i.e., there could be inaccuracies) and wild (?potentially economic taxa) not included in section 3.2 have not been entered in the db; coprolites: there is a separate table for contents of coprolites but these have not entered in db [both sets of samples (profile and individual) are described separately - comments are made throughout about the relative amounts of charred versus waterlogged taxa]; data entered in db: charred and uncharred cereal remains from the occupation layer profiles (also including: ubiquities for certain economic taxa taken from figure 14; lists of taxa from section 3.2.2 (p190-192)[e.g., table 6]",S6151,wet-sieving,"2.5mm, 1.0mm, 0.3mm",NULL
"the site (located at the W end of Lake Constance) was discovered in 1866 and excavated in 1982-4/86; the EBA pile-dwelling site is situated 120-160m from the shore and in area covers 70x40m; 3 cultural layers (BsIA, IB, IC) are described - all interleaved with limnic chalk and fluviatile deposits (the lower layer is dated to the older EBA and the upper layers to the recent/later EBA); a 6cm thick burnt layer (see abot notes below) was identified in the lower layer; thre present study relates to all three EBA cultural layers (see figure 6, p447 for stratigraphy and location of profile samples Q62/2, Q62/4, Q62/6); archaeobotany: profile samples (Q62/2/4/6) taken from cultural layers and surface samples ('Flachenproben') were examined; samples were wet-sieved on a stack of sieves (5, 2.5, 1, 3.15, 0.2mm) - a majority of the plant remains from the profile samples were waterlogged and additional charred cereal taxa are recorded from 5 of the 'Flachenproben' which included the burnt deposit in the lowest cultural layer (tables 3 and 6; see ch3, pp:450-453); db entries are for taxa from the 3 profile samples recorded in table 16 - including notes on additional charred cereal grains and chaff listed in tables 3 and 6; Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S6153,wet-sieving,"5.0mm, 2.5mm, 1.0mm, 0.315mm, 0.2mm",NULL
"a Late Neolithic settlement containing Grooved Ware was excavated at this site between 1976-9, probably associated with the Dorset Cursus which is only 140m SE; 16 pits were discovered; the LN site is overlain by an MBA three-sided rectilinear enclosure (SU 01 SW 84) containing 5 circular huts and a long rectanguilar building; Archaeobotany: a total of 68 samples from 15 Neolithic pits were examined for their archaeobotanical content; charred plant remains were recorded in an unknown number of samples from 9 pits; samples from the other 6 pits did not contain plant remains; the method by which the soil samples were processed is unrecorded; a small quantity of remains was present, including naked barley, hexaploid wheat, hazelnut shell, crab-apple.",S6334,NULL,NULL,NULL
"extensive middens of Beaker date were excavated in a soft machair environment, beneath which was discovered an old land surface containing traces of plough and spade agriculture; Archaeobotany: charred plant remains were recorded in an unknown number of samples; the samples were washed/processed with water, using a sieve of unknown mm mesh size; grains of naked barley were predominant, with some evidence of hulled barley and emmer wheat also recorded; at least some of the barley was of the six-row variety.",S6580,wet-sieving,NULL,NULL
"area 2 contained three Early Neolithic rectangular structures and a series of pits, some of which were interpreted as ritual pits; later activity in Area 2 included Early Bronze Age campsites and Middle Bronze Age ring-ditches; a Late Neolithic pit complex was also recorded in nearby Area 1, while burnt mounds were found in Area 4; excavation licence number: AE/04/77.; Archaeobotany: charred plant remains were recorded in five soil samples from Early Neolithic deposits associated with the structures (C58, C59, C358, C367, C466); the samples were washed/processed with water, using a sieve of unknown mesh size; cereal grains (including cf. naked wheat, cf. naked barley and cf. common oat), hazelnut shell and a weed were present; seed/grain impressions were also recorded on ceramic sherds from the following deposits: C58, C368, C376, C378, C426, C578, C598); the impressions were identified as cf. wheat, crab-apple and sloe. NOTE FROM MERIEL MCCLATCHIE: Be cautious about the quoted cereal identifications, given the absence of chaff.",S6751,wet-sieving,NULL,NULL
"a Middle Neolithic pit complex (consisting of three groups of pits) was recorded at this site; evidence for other prehistoric and later activity was also present, including a Bronze Age cremation cemetery, Iron Age cremations and post-medieval agricultural activity; excavation licence number: E2610.; Archaeobotany: three soil samples from pit fills contained charred plant remains; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell, hulled barley grains and indeterminate cereal grains were present; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50).",S6760,wet-sieving,0.25mm,NULL
"Caherabbey Upper, Co. Tipperary, Ireland: Site 189.1 (Area 1) contained an Early Neolithic possible structure; beaker pottery was also found nearby; excavation licence number: E2298, A035/000.; Archaeobotany: three soil samples were taken from deposits associated with the possible structure, all of which contained charred plant remains; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; several hundred cereal grains were recorded, including cf. emmer wheat; hazelnut shell and weed remains were also present.",S6840,wet-sieving,0.25mm,NULL
"an Early Bronze Age pit burial was located near the burial cairn at this site. Early-Middle Bronze Age cist burials were recorded beneath the burial cairn; excavation licence number: unknown.; archaeobotany: charred plant remains were recorded in three samples from the Early Bronze Age pit burial at the site; two of the samples (S27 and S28) were washed/processed with water, using a sieve of 0.25 mm mesh size; the plant remains from S25 were hand-picked; cereal remains (including cf. emmer wheat, cf. spelt wheat and cf. barley), hazelnut shell and weeds were present.",S6862,"wet-sieving, hand-picked",0.25mm,NULL
"Early Neolithic: Site 1 was located at the edge of a raised bog and contained a complex of five Early Neolithic burnt mounds, which produced numerous deliberate deposits of marl mixed with burnt flint, bone and pottery; a Late Mesolithic fishing platform, mooring and four conical fish-traps were also located at this site. Excavation licence number: E3064, A008/011.; Archaeobotany: charred and waterlogged plant remains were recorded in 55 deposits, most of which were associated with burnt mounds at the site; the samples were washed/processed with water (sieve size unknown); a wide range and large quantity of plants remains were recorded, including cultivated crops.; note from SC: as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries;Late Mesolithic: Site 1 was located at the edge of a raised bog and contained a Late Mesolithic fishing platform, mooring and four conical fish-traps; a complex of Early Neolithic burnt mounds was also located at this site; excavation licence number: E3064, A008/011.; Archaeobotany: charred and waterlogged plant remains were recorded in 15 deposits, which were associated with layers, a wooden platform and fish-traps at the site; the samples were washed/processed with water (sieve size unknown); a wide range and large quantity of plants remains was recorded, including cultivated crops (these crops are likely to be contaminants, deriving from Early Neolithic activity at the same location; Note from SC: I've excluded these taxa from db entries).; Note from SC: as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries",S6914,wet-sieving,NULL,NULL
"an Early Bronze Age 'temporary' settlement was recorded, consisting of a shell midden, hearths and pits; excavation licence number: 92E0185 and 94E128.; Archaeobotany: Charred plant remains were recorded in 12 samples from Early Bronze Age activity at the site; the samples were washed/processed with water, using a sieve of unknown mesh size. Cereal grains (including cf. emmer wheat and hulled barley) and weed seeds were present; the analysis was carried out by David Weir (Weir 1996) and Gill Plunkett (pers. comm.).",S7006,wet-sieving,NULL,NULL
"Site 1 contained an Early Bronze Age pit and stake-hole; an Early Neolithic rectangular structure and post-medieval activity were also present nearby; excavation licence number: E2119, A014/003.; Archaeobotany EBA: three soil samples from the pit were found to contain charred plant remains; the deposits were washed/processed with water, using a sieve of 0.25 mm mesh size. Small quantities of cereal remains (including emmer wheat and barley), possible flax, hazelnut shell, possible crab-apple and weed remains were recorded.; EN: eight soil samples from deposits associated with the house were found to contain charred plant remains; the deposits were washed/processed with water, using a sieve of 0.25 mm mesh size; small quantities of cereal remains (including emmer wheat and barley), hazelnut shell, crab-apple and weed remains were recorded; exact counts of crab-apple endocarp fragments were not provided.",S7030,wet-sieving,0.25mm,NULL
"Site 27 contained two Early Neolithic rectangular houses; later activity was also recorded at this site, including Bronze Age pits and burnt mound material, as well as later pits; excavation licence number: 04E0548.; Archaeobotany: twenty-one soil samples from deposits associated with the two houses contained charred plant remains; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell and cereal remains (including naked barley, emmer wheat and oat) were present; exact counts of material were not provided in many cases (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50).",S7037,wet-sieving,0.25mm,NULL
"Sites 11 and 12 each contained an Early Neolithic pit complex, which appear to be contemporary;an Early Bronze Age burnt mound with troughs was located nearby; excavation licence number: AE/02/76.; Archaeobotany: fourteen samples associated with the two pit complexes contained charred plant remains; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; large quantities of hazelnut shell were present, as well as smaller quantities of wheat grains, naked barley grains and other seeds",S7038,wet-sieving,0.25mm,NULL
"Sites 3 and 5 each contained a Middle Neolithic pit complex; later activity was also located at this site, including a Bronze Age pennanular ring ditch, Iron Age gullies, ard-marks and early medieval pits; excavation licence number: 02E0606.; Archaeobotany: charred plant remains were recorded in seven samples from Middle Neolithic pits at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; large quantities of hazelnut shell were present, as well as smaller quantities of cereal remains (including barley and cf. emmer wheat).",S7061,wet-sieving,0.25mm,NULL
"Early Bronze Age pits and layers were located at this site; extensive activity dating to other periods was also found, including an Early Neolithic rectangular house, a later Bronze Age structure, Iron Age deposits and later features; excavation licence number: 03E0306.; Archaeobotany: charred plant remains were recorded in 16 samples associated with Early Bronze Age layers and pits; the samples were washed/processed with water, using a sieve of 0.30 mm mesh size; cereal grains (barley), nut and fruit remains were present.",S7067,wet-sieving,0.3mm,NULL
"this site straddles three townlands (Kilsheelan, Poulakerry and Cloghcarigeen East). Areas 1 and 2 contained Middle Neolithic pit complexes; later activity was also located at this site, possibly related to modern field clearance; excavation licence number: 05E1391.; Archaeobotany: charred plant remains were recorded in five samples from Middle Neolithic pits at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; cereal grains (including emmer wheat), hazelnut shell and a weed were present.",S7091,wet-sieving,0.25mm,NULL
"Sites 2b and 2c (two adjacent excavations) contained a single Early Neolithic causewayed enclosure; the dating of this site has been subject to some controversy. While a number of charcoal radiocarbon dates appear to fit into the period 4000-3800 cal BC, Whittle et al. are not convinced by them, and instead suggest that the site is more likely to date to sometime after 3800 cal BC; later activity included an Iron Age circular structure (Site 2c) and an early medieval enclosure (Site 2b). Excavation licence number: 03E0536 (Site 2b) and 03E0538 (Site 2c).; Archaeobotany: charred plant remains were recorded in 22 samples from Early Neolithic interior pits and other features at the causewayed enclosure; the samples were washed/processed with water, using a sieve of 0.50 mm mesh size; cereal grains (including wheat and barley) and hazelnut shell were present; exact quantities of remains were not recorded in many cases.",S7138,wet-sieving,0.5mm,NULL
"Site 1 contained three Early Neolithic rectangular structures, as well as associated pits and hearths; later activity was also recorded at this site, including a Bronze Age burnt mound and pits, an early medieval drying kiln, a medieval burial and post-medieval agricultural features; excavation licence number: 03E0888.; Archaeobotany: charred plant remains were recorded in 62 deposits from Early Neolithic structural and related features; the plant remains derived from forty-eight soil samples, which were washed/processed with water using a sieve of 0.25 mm mesh size; hazelnut shell was also hand-picked during the excavation from the following 14 deposits: C62, C445, C450, C482, C499, C562, C601, C603, C605, C630, C673, C906, C925, C1054; cereal remains (including emmer wheat and naked barley), hazelnut shell and weeds were present; exact counts of material were not provided in many cases (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50); an oat grain from C4 was 14C dated to the post-medieval/modern period, and it is therefore unclear if other oat grains from these deposits are Neolithic or later.",S7154,"wet-sieving, hand-picked",0.25mm,NULL
"Site 37 contained an Early Neolithic rectangular structure; Late Mesolithic hazelnut shell had also become incorporated into a slot-trench of the structure (reported in file ""Newrath_37_LMeso""); later activity at this site included an Early Bronze Age cist burial (surrounded by a ring-ditch) and a Middle Bronze Age pit cremation cemetery; excavation licence number: 04E0288.; Archaeobotany: charred plant remains were recorded in two samples associated with the Early Neolithic house; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; hazelnut shell, emmer wheat remains and other seeds were present; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50). [Note from SC: all taxa are rare]",S7177,wet-sieving,0.25mm,NULL
"part of an Early Neolithic rectangular structure was excavated at this site; excavation licence number: E0374.; Archaeobotany: charred plant remains were recorded in seven samples from deposits associated with the Early Neolithic house; the samples were washed/processed with water, using a sieve of 0.30 mm mesh size; cereal grains (including cf. emmer wheat), hazelnut shell and crab-apple were present.",S7189,wet-sieving,0.3mm,NULL
"an Early Bronze Age pit complex was recorded at this site, which was interpreted as representing possible ritual activity; an Early Neolithic rectangular structure was also present, while later activity included a Middle Bronze Age pit burial, a medieval enclosure, post-medieval ditches and undated metal-working; excavation licence number: E2571, A021/013, A021/014.; Archaeobotany EBA: charred plant remains were recorded in two samples from Early Bronze Age pits at this site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; cereal grains (including emmer wheat and naked barley) were present; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50). [Note from SC: all taxa are rare]; Archaeobotany EN: charred plant remains were recorded in six samples from the Early Neolithic structure at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; cereal grains (including emmer wheat) and hazelnut shell were present; exact counts of material were not provided (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50).",S7221,wet-sieving,0.25mm,NULL
"a Middle Neolithic enclosure with associated settlement was excavated at this site; the enclosing element consisted of a palisade located on a glacial mound; the main settlement evidence comprised two adjacent Neolithic rectangular structures (interpreted as houses) and a third structure (possible house) on the lower slopes of the mound. Large, earth-cut pits were also recorded; a second phase of Neolithic activity is represented by post-occupation layers in the vicinity of the structures; a third phase of Neolithic activity is represented by the introduction of layers of over 1m of glacial till onto the lower slopes; minor phases of later activity were also recorded, dating to the early medieval, medieval and modern periods; excavation licence number 97E0472, A026/002.; Archaeobotany: soil samples were taken from houses, pits, infill layers and nearby deposits during the excavation; archaeobotanical analysis of the samples revealed that charred remains were present in 169 of 211 examined deposits; all samples were washed/processed with water, using sieves of 0.25 mm mesh size; density of finds was generally low, with the exception of pit fills C1123 and C1124, each of which contained several hundred wheat grains and small quantities of wheat chaff, as well as hazelnut shell, crab-apple seeds and weed seeds; more than 500 hazelnut shell fragments and a wheat grain were also recorded in pit fill C1661; flax and naked barley remains were also recorded at this site.",S7272,wet-sieving,0.25mm,NULL
"the site was discovered in 1978 and excavated in 1981 by the URA 12 and the Circle Tourism and Archaeological Research Blicquy-Aubechies (Constantin et al. 1983 Constantine 1985); 2 houses and 20 graves were identified; absolute dates obtained on seeds give the oldest, 5135 <U+00B1> 74 cal BC (6180 +/- 55 BP (OxA-6647) on fragments of pericarp of hazelnut) and the most recent 4901<U+00B1> 92 cal BC (6000 +/- 75 BP (OxA-6780) on Triticum diccoccum) (Jadin 2003: 599); archaeobotany: 4 pits produced plant remains (total: 314 seeds); samples were weighed prior to sieving (?wet-seiving; Salavert 2010, 44); the deposits were clay-rich which made flotation difficult - to facilitate dispersion of clays and to limit fragmentation, the samples were placed in a drying oven for c. 24 hours at 50 degrees C; they were soaked(?) in a water and then sieved on a mesh of 250 micron; Salavert comments that for all sites the density of remains is low (4.3 items/l; Salavert 2010, 57) ",S7364,wet-sieving,0.25mm,NULL
"as part of an emergency salvage by the Thuringian State Office for Archaeological Heritage, LKr. Gotha, during construction of the ICE line Nuremberg-Erfurt-Halle in October 1999, part of a settlement site of the mid to late Bandkeramik was discovered to the southeast of Ingersleben; the site lies on a gentle north slope, approximately 0.7 miles south of the river Apfelstadt and about 0.4 km southeast of Ingersleben (Herbig 2001); no other details about the excavation are given in the report; archaeobotany: preservation was by charring; samples (of c. 10 litres = 1 bucketful) were taken from 12 pits at the site; bucket-flotation was used and the mesh size was 0.3mm; results were presented in table form: by absolute counts (table 1), relative frequencies, weights, etc. [db entries according to data in table 1)",S7378,"bucket flotation",0.3mm,NULL
"soil samples were collected during the excavations of the district Archaeology Staubing-Bogen (manager K. Bohm); they came from pits of the Cham Group; the settlement is located in very hilly terrain south of the valley of the Little Laaber (Lkr. Straubing-Bogen) [I can't find any notes in the publication about retrieval methods nor any details on identification of taxa]",S7379,NULL,NULL,NULL
"no information given except that it's a settlement site; Kirleis et al. note that the samples studied were from archive/museum collections; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Hemmingstedt aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl Hem LA2) with totals counts but not ubiquities; for Oldenburg she records that 24 samples (total volume: 280 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that settlements show the highest concentrations of plant materials with up to 109 remains/10 l (all remains are charred)					",S7381,flotation,0.3mm,NULL
"these are meglithic tombs/dolmens (no other details are given in Kirleis et al. 2011); at tomb sites, sampling was carried out for every square metre and, depending on excavation techniques, every layer or every 10 cm [three megalithic tombs are recorded in http://www.megalithic.co.uk/ as being within 1km of the village to the NE, E and SE; 2 are recorded as having been destroyed and the third is visible in google earth; these could be the same as the ones recorded but no way of knowing]; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Eisendorf aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl Edf) with totals counts but not ubiquities; for Eisendorf she records that 7 samples (total volume: 23 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that tombs on average have 0.5-19 remains/10 l (all remains are charred)",S7383,flotation,0.3mm,NULL
"no information given except that it's a settlement site; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Bad Segeberg aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl Seg) with totals counts but not ubiquities; for Bad Segeberg she records that 58 samples (total volume: 40 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that settlements show the highest concentrations of plant materials with up to 109 remains/10 l (all remains are charred)",S7384,flotation,0.3mm,NULL
"the site is a meglithic tomb/dolmen (no other details about the site are given in Kirleis et al. 2011); the tomb was excavated recently as part of a recent project by Kiel University (http://www.monument.ufg.uni-kiel.de/en/the-projects/hessisch-westfaelische-megalithik/laufende-arbeiten/ (accessed 20.01.12)) and is one of three that are known at Schmerlecke-Erwitte; good preservation of all environmental materials is recorded; Kirleis states that at tomb sites, sampling was carried out for every square metre and, depending on excavation techniques, every layer or every 10 cm.; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Schmerlecke aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl SmkII) with totals counts but not ubiquities; for SmkII she records that 48 samples (total volume: 480 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that tombs on average have 0.5-19 remains/10 l (all remains are charred)					",S7385,flotation,0.3mm,NULL
"Belleben I enclosure is situated between the modern villages of Belleben (Salzland district) and Gerbstedt (Mansfeld-Sudharz); magnetometry survey shows the enclosure as a slight oval with a diameter of roughly 92 m from east to west and 93 m from north to south, the largest diameter of ca. 97.5 m was measured from northeast to southwest; the site is attributed to the Baalberge Culture (4000/3900 - 3400/3300 BC) and according to AMS dates falls into the interval between 3600 and 3400 cal BC (taken from: http://www.monument.ufg.uni-kiel.de/en/the-projects/mitteldeutsche-kreisgrabenanlagen/projektbeschreibung/  (accessed: 18.01.12); archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Belleben aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl BebI) with totals counts but not ubiquities; for Belleben she records that 87 samples (total volume: 870 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that enclosures show the lowest concentrations (0.6<e2>-2 remains/10 l) (all remains are charred)					",S7386,flotation,0.3mm,NULL
"the site is located to the north of the town of Bad Oldesloe and lies in a low moor: Brenner Moor which is part of the middle Trave lowland; taken from: http://www.monument.ufg.uni-kiel.de/en/the-projects/mitteldeutsche-kreisgrabenanlagen/projektbeschreibung/ (accessed: 18.01.12); it is a non-permanent 'functional site' within a wider settlement system; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described; at Bad Oldesloe samples of 300 ml of bulk material were taken from the peaty cultural layers in a grid of every second square metre and in 10 cm layers from cuts; wet sieving (mesh: 0.3mm?) of the bulk material resulted in very few finds of waterlogged Cyperaceae fruits (??not listed in table) plus some charred cereal grains; a further 3 litres of bulk material was washed on sieves with mesh widths of 2 and 1 mm to collect further charred plant remains; the residue was dried and scanned for charred macro-remains that were hidden in dense root mats (resulting in very few (charred) finds); for Bad Oldesloe she records that 8 samples (total volume: 24 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes settlements show the highest plant remain concentrations with up to 109 remains/10 l. (all remains are charred)					",S7387,wet-sieving,0.3mm,"bulk samples: mesh sizes 2.0mm, 1.0mm"
"the site is a meglithic tomb/dolmen (no other details about the site are given in Kirleis et al. 2011) except that the two sets of samples were studied because the tomb was built around 3600 cal. B.C. during the late Early Neolithic FBC and was re-used during the Late Neolithic; Kirleis states that at tomb sites, sampling was carried out for every square metre and, depending on excavation techniques, every layer or every 10 cm.; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Albersdorf-Brutkamp aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl AB5) with totals counts but not ubiquities; for AB5E she records that there were 40 samples (total volume: 400 litres) for AB5L there were 16 samples (total volume: 160 litres); very few ID notes in text; in the general discussion Kirleis notes that tombs on average have 0.5-19 remains/10 l (all remains are charred)",S7388,flotation,0.3mm,NULL
"the megalithic tomb/grave mound was used from FBC and expanded into the Late Neolithic - samples were studied from both periods (NB: Kirleis places the tomb within the early/middle Neolithic TRB; see her figure 7); Budelsdorf and Borgstedt are neighbouring towns and the monuments/settlements from each are usually described together; the main occupation phase of the enclosure (referring to Budelsdorf) is apparently the transition between the Early and Middle Neolithic; 12 round mounds and long barrows in Borgstedt, c. 800m to the  northeast, ten of which have been investigated in the last 40 years, appear to have been used coincidentally with the enclosure [taken from: http://www.monument.ufg.uni-kiel.de/uploads/media/5_Poster_Enclosures_Hage_Dibbern_web.pdf (accessed 20.01.12)]; archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Borgstedt aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl Borgstedt) with totals counts but not ubiquities; Kirleis states that at tomb sites, sampling was carried out for every square metre and, depending on excavation techniques, every layer or every 10 cm.; for BorgI there were 6 samples (total volume: 58 litres) and for BorgII there were also 6 samples (total volume: 81 litres); very few ID notes in text;  in the general discussion Kirleis notes that tombs on average have 0.5-19 remains/10 l (all remains are charred)					",S7389,flotation,0.3mm,NULL
"the site is from/at Vordersten Waade at Bosnau in Schleswig-Holstein; it is located in the center of a gently sloping terrace overlooking the lake on the eastern shore of the Planer See, south of Vierer See (e.g., on the isthsmus between the Planer See and Vierer See); the site was excavated in the late 1960s-1970s; Gebers & Kiefmann (1977) describe the location of the site and the excavation of the graves; Kroll's samples were taken from a pit (pit cut IX/1978) in the LN settlement; Kroll also mentions that samples of cereals from the pit were 14C dated: 3640<U+00B1>60BP (Kiel lab; calibrated date: 2060-2170 BC); archaeobotany: Kroll states that a total of 6 samples were taken from the pit contents and from the surface layers; also because the results of the analysis of samples from the pit contents and the surface layers are the same in each case he notes that the individual samples of both groups are amalgamated in one table (table 1, p373; 1a: pit samples, 1b: surface layer samples - I've recorded these as 2 samples in the db); no details of sample volumes or recovery methods are given [all remains are charred]						",S7390,NULL,NULL,NULL
"in late summer of 1978, construction stopped in Freiberg-Geisingen because of the need to investigate an area settled in the Neolithic period and in the late Hallstatt period (Piening 1988); the area of at least 1.4 hectares (10% which was excavated) was on a west-east inclined loess bank; to the north was limited by a flat valley and in the southeast by the Grundelbachtal; the a/bot material came from pits, some were from the late Hallstatt (Ha D), the others were Neolithic in origin (Schussenrieder culture); archaeobotanical analysis: the material came from a total of eight pits: 4 Schussenrieder Neolithic culture and 4 late Hallstatt period; fully dried samples (c. 1000-5800 cm3 by volume) have been fully prepared and studied; the composition of the samples varied, depending on their condition, they disaggregated in water differently, in a few cases hydrogen peroxide had to be added; after the soil samples had disaggregated, they were washed/sieved on a set of sieves (mesh sizes of the three stacked sieves: 2.5, 1.0 and 0.315 mm); samples that had been softened completely such as an ash sample, which was rich incharred plant remains, could be decanted easily as water is poured through the sieve stack, etc. etc; Piening lists taxa in the 4 pit contexts in table 1, p214 (volumes given for each sample)",S7391,wet-sieving,"2.5mm, 1.0mm, 0.315mm",NULL
